EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,BusinessTravel,DistanceFromHome,OverTime,MonthlyIncome,StockOptionLevel,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,AttritionFlag,Attrition
108,51,Female,Divorced,Research & Development,Healthcare Representative,3,Medical,Travel_Rarely,1,No,8900,2,6,0,0,0,0,0,1,4,3,3,4,3,0,No
110,28,Female,Divorced,Human Resources,Human Resources,4,Life Sciences,Travel_Frequently,5,No,3910,2,0,0,4,3,4,0,3,4,4,2,3,4,1,Yes
117,25,Male,Divorced,Research & Development,Research Scientist,3,Medical,Non-Travel,17,No,7661,1,0,2,4,0,0,3,1,3,4,1,3,3,1,Yes
122,37,Male,Single,Human Resources,Human Resources,3,Life Sciences,Non-Travel,7,No,3422,0,6,1,19,3,11,1,2,3,2,3,3,3,0,No
125,56,Female,Single,Research & Development,Healthcare Representative,4,Life Sciences,Travel_Rarely,3,No,7421,1,6,5,0,0,0,0,3,4,4,4,1,3,1,Yes
128,40,Male,Divorced,Research & Development,Laboratory Technician,5,Medical,Travel_Rarely,18,No,1960,2,6,3,6,0,5,4,3,2,3,3,2,3,1,Yes
129,44,Female,Married,Sales,Manager,1,Marketing,Non-Travel,13,Yes,16968,0,11,1,3,3,3,1,0,4,3,3,2,4,0,No
130,44,Male,Married,Sales,Sales Executive,4,Medical,Travel_Rarely,20,No,7720,0,7,1,0,0,0,0,2,1,1,3,3,3,1,Yes
132,45,Female,Single,Sales,Manager,1,Life Sciences,Travel_Rarely,7,Yes,17486,2,10,2,21,2,1,1,3,4,4,2,2,3,0,No
133,47,Female,Married,Sales,Manager,4,Medical,Travel_Rarely,14,No,18187,0,6,0,10,3,2,6,2,1,2,3,3,4,1,Yes
135,36,Male,Married,Sales,Sales Representative,3,Medical,Travel_Rarely,12,No,1561,1,8,2,1,0,0,1,3,1,4,4,4,3,1,Yes
138,32,Male,Married,Sales,Sales Representative,4,Life Sciences,Travel_Rarely,29,No,3148,1,19,1,0,0,0,0,3,4,2,2,3,4,0,No
139,32,Female,Divorced,Sales,Manager,3,Life Sciences,Travel_Rarely,7,No,15922,1,9,1,10,9,0,2,3,3,4,3,4,3,1,Yes
142,36,Male,Divorced,Research & Development,Manufacturing Director,4,Technical Degree,Non-Travel,1,No,13567,0,19,0,0,0,0,0,3,1,1,2,3,3,0,No
143,43,Male,Divorced,Research & Development,Manufacturing Director,4,Medical,Travel_Rarely,29,No,15035,1,8,0,1,1,0,1,3,2,3,3,2,3,1,Yes
149,39,Male,Single,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,7,No,5518,1,26,9,0,0,0,0,2,4,1,2,3,3,0,No
152,40,Female,Single,Sales,Sales Representative,5,Life Sciences,Travel_Rarely,2,No,4108,0,12,8,0,0,0,0,1,3,2,3,3,3,0,No
153,29,Male,Single,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,3,No,1900,1,0,2,4,4,4,0,2,2,1,3,4,3,0,No
154,40,Male,Single,Human Resources,Human Resources,3,Life Sciences,Travel_Rarely,18,No,2019,3,23,0,18,0,1,4,1,1,4,3,3,3,1,Yes
155,21,Male,Single,Research & Development,Laboratory Technician,4,Marketing,Travel_Rarely,16,Yes,5030,0,0,4,3,1,0,3,3,2,4,2,1,3,1,Yes
158,28,Female,Single,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,26,Yes,16007,1,11,5,10,1,2,0,2,4,1,2,3,3,0,No
160,38,Male,Married,Sales,Sales Representative,3,Life Sciences,Non-Travel,10,Yes,3571,0,5,2,1,1,1,1,2,1,4,2,3,3,0,No
162,34,Male,Single,Research & Development,Research Director,3,Life Sciences,Non-Travel,7,Yes,17768,1,11,5,5,2,0,0,1,3,4,3,3,3,0,No
165,42,Male,Divorced,Sales,Sales Executive,1,Marketing,Travel_Rarely,2,No,8552,0,0,0,8,2,8,1,4,3,3,4,3,3,0,No
169,49,Female,Single,Research & Development,Healthcare Representative,1,Marketing,Travel_Rarely,8,No,9253,1,11,5,3,3,0,3,1,4,3,2,3,3,0,No
170,21,Male,Married,Human Resources,Manager,3,Technical Degree,Travel_Frequently,29,No,16916,0,18,1,3,1,0,0,4,3,3,3,2,3,0,No
173,24,Female,Married,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Frequently,3,Yes,7549,0,4,6,1,1,1,0,1,2,1,3,4,4,0,No
174,32,Male,Married,Research & Development,Manufacturing Director,1,Technical Degree,Travel_Rarely,1,No,12810,0,0,0,1,1,1,1,3,4,4,2,4,4,0,No
175,35,Female,Divorced,Research & Development,Healthcare Representative,3,Life Sciences,Travel_Rarely,22,No,5950,0,12,0,14,1,6,4,4,3,4,2,3,3,0,No
176,32,Male,Married,Human Resources,Human Resources,2,Medical,Travel_Rarely,5,Yes,3136,3,6,2,3,3,0,0,2,2,4,2,3,3,0,No
179,18,Female,Single,Research & Development,Research Scientist,3,Medical,Travel_Rarely,6,Yes,6364,0,13,0,0,0,0,0,5,1,3,3,3,3,1,Yes
182,30,Male,Married,Sales,Sales Executive,3,Marketing,Travel_Rarely,3,Yes,4366,1,5,0,0,0,0,0,3,4,2,3,2,3,0,No
186,33,Male,Single,Sales,Sales Representative,1,Life Sciences,Travel_Rarely,6,No,2788,1,21,2,0,0,0,0,3,4,4,2,3,3,0,No
187,29,Female,Married,Sales,Sales Executive,1,Medical,Non-Travel,7,No,4425,1,11,1,7,1,0,0,3,1,4,3,3,3,0,No
188,38,Male,Single,Sales,Manager,3,Human Resources,Travel_Rarely,3,No,16024,3,7,0,1,1,0,1,2,3,4,2,3,3,0,No
191,39,Female,Married,Sales,Sales Executive,5,Other,Travel_Rarely,4,No,6424,2,12,9,0,0,0,0,3,1,3,3,3,3,1,Yes
193,39,Female,Divorced,Human Resources,Human Resources,4,Marketing,Travel_Rarely,2,No,4148,1,16,3,5,0,1,1,3,1,4,4,2,3,0,No
196,22,Male,Divorced,Human Resources,Manager,4,Medical,Travel_Rarely,8,Yes,17072,3,3,0,0,0,0,0,3,3,1,2,3,3,0,No
199,39,Female,Married,Sales,Sales Executive,4,Life Sciences,Travel_Rarely,29,No,5209,0,8,1,0,0,0,0,3,1,4,2,4,3,0,No
200,41,Female,Married,Research & Development,Manufacturing Director,1,Life Sciences,Travel_Rarely,4,Yes,16162,0,12,1,4,0,0,4,4,4,3,4,2,3,0,No
202,37,Male,Married,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,14,Yes,15751,0,12,0,1,0,0,1,2,4,2,2,3,3,0,No
204,39,Male,Married,Human Resources,Human Resources,4,Life Sciences,Travel_Rarely,18,No,7113,1,9,1,3,1,2,1,2,4,1,4,3,3,0,No
208,48,Male,Single,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,20,Yes,5527,0,22,1,1,1,1,1,2,1,3,3,3,3,0,No
209,23,Male,Divorced,Sales,Manager,5,Marketing,Travel_Frequently,14,No,18715,0,17,2,1,1,0,1,3,1,3,3,4,3,0,No
210,37,Female,Divorced,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,7,No,7745,2,5,3,0,0,0,0,3,4,2,3,3,3,0,No
211,34,Male,Married,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,1,No,14531,1,17,0,11,4,4,2,2,2,3,3,2,3,0,No
212,45,Male,Single,Sales,Manager,3,Life Sciences,Travel_Rarely,21,Yes,15839,0,2,2,1,1,1,1,3,1,4,3,3,3,1,Yes
215,39,Male,Married,Research & Development,Research Scientist,3,Medical,Travel_Rarely,8,No,3811,1,23,0,4,4,4,0,1,3,4,2,4,3,0,No
216,42,Male,Single,Human Resources,Manager,1,Life Sciences,Travel_Rarely,12,No,19823,2,20,7,3,3,2,0,5,4,4,3,3,3,0,No
217,37,Female,Single,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,4,No,7141,1,18,0,6,0,1,1,2,3,3,4,3,3,0,No
220,31,Male,Single,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,3,No,7734,1,11,3,2,2,1,1,1,3,3,2,3,4,0,No
224,34,Male,Single,Human Resources,Human Resources,3,Life Sciences,Travel_Rarely,4,No,3590,1,18,6,4,4,0,3,2,3,1,3,4,3,0,No
227,20,Male,Single,Research & Development,Manufacturing Director,4,Life Sciences,Travel_Rarely,29,No,13596,0,3,1,0,0,0,0,3,4,4,3,3,3,0,No
228,38,Female,Divorced,Sales,Sales Representative,2,Medical,Non-Travel,1,Yes,2583,1,28,0,1,0,1,1,0,4,1,3,3,4,0,No
230,27,Male,Single,Sales,Manager,4,Life Sciences,Travel_Rarely,7,No,13023,2,18,0,3,0,3,3,3,2,4,3,3,3,0,No
232,24,Male,Married,Sales,Manager,3,Medical,Non-Travel,4,No,15833,1,14,0,6,4,0,0,5,4,4,3,2,3,0,No
234,30,Female,Single,Research & Development,Healthcare Representative,1,Marketing,Travel_Frequently,1,No,8082,0,3,4,0,0,0,0,4,2,2,3,3,3,0,No
235,34,Female,Divorced,Research & Development,Research Scientist,3,Marketing,Travel_Rarely,17,No,4937,0,22,4,8,0,1,6,3,2,3,2,3,3,0,No
236,27,Female,Divorced,Research & Development,Research Director,4,Life Sciences,Travel_Rarely,20,No,16489,0,2,4,3,1,1,1,1,4,1,3,3,3,0,No
237,22,Female,Single,Sales,Sales Executive,3,Life Sciences,Non-Travel,4,Yes,7409,0,0,2,4,4,4,0,3,3,3,3,3,3,0,No
238,32,Male,Married,Research & Development,Research Director,2,Human Resources,Travel_Frequently,14,No,15943,1,18,1,14,0,1,2,2,3,4,3,4,3,1,Yes
240,24,Male,Divorced,Human Resources,Manager,4,Medical,Travel_Rarely,16,No,18114,0,1,9,1,1,0,1,3,4,1,3,3,3,1,Yes
241,37,Male,Married,Research & Development,Research Scientist,3,Technical Degree,Travel_Rarely,7,No,5793,0,4,2,2,2,0,0,3,4,3,2,4,3,1,Yes
242,39,Female,Married,Human Resources,Human Resources,4,Medical,Travel_Rarely,9,No,5474,1,9,0,6,1,2,0,3,2,1,3,2,3,0,No
243,44,Female,Divorced,Human Resources,Human Resources,2,Marketing,Non-Travel,8,No,4776,1,5,0,0,0,0,0,3,1,3,3,3,3,0,No
246,28,Male,Single,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,5,Yes,8080,0,11,2,5,0,0,0,3,3,2,3,3,3,0,No
247,38,Female,Divorced,Research & Development,Healthcare Representative,3,Medical,Travel_Rarely,8,Yes,6136,2,11,1,4,4,0,0,3,3,4,3,2,4,0,No
248,36,Male,Married,Research & Development,Research Director,3,Medical,Travel_Frequently,5,Yes,18656,0,14,0,8,4,1,2,2,4,1,4,1,3,0,No
250,41,Male,Married,Research & Development,Research Scientist,4,Human Resources,Travel_Rarely,1,Yes,4409,2,9,8,17,2,0,2,0,3,2,4,2,3,0,No
253,40,Female,Married,Sales,Manager,1,Medical,Travel_Frequently,9,Yes,17915,0,7,3,11,2,1,11,3,2,1,1,2,3,0,No
255,42,Male,Divorced,Research & Development,Research Director,1,Marketing,Travel_Rarely,7,No,16644,0,12,6,1,0,1,1,5,3,4,3,3,3,1,Yes
256,36,Male,Single,Sales,Sales Executive,3,Life Sciences,Travel_Rarely,16,No,7522,3,1,1,13,0,0,3,3,2,4,3,4,4,0,No
260,41,Male,Married,Research & Development,Laboratory Technician,5,Medical,Travel_Rarely,3,No,4883,0,4,2,0,0,0,0,2,3,1,2,2,3,0,No
262,39,Female,Single,Research & Development,Research Director,4,Life Sciences,Travel_Rarely,1,No,17334,0,15,5,1,1,1,1,3,2,4,3,3,3,0,No
266,37,Female,Divorced,Human Resources,Human Resources,2,Marketing,Travel_Frequently,8,Yes,3224,1,20,5,4,4,4,1,3,2,2,2,3,3,0,No
268,51,Female,Divorced,Human Resources,Human Resources,3,Life Sciences,Travel_Rarely,1,No,3215,0,3,1,1,1,0,0,3,4,3,2,2,3,0,No
270,27,Male,Married,Sales,Sales Representative,3,Medical,Non-Travel,10,No,2747,1,12,0,3,3,3,0,2,3,1,4,3,3,0,No
272,45,Male,Single,Research & Development,Research Director,2,Life Sciences,Travel_Rarely,5,No,15679,0,19,2,20,2,1,0,2,4,2,2,3,3,0,No
275,51,Male,Divorced,Sales,Manager,4,Marketing,Non-Travel,3,No,16065,0,7,0,10,10,8,7,2,3,4,2,3,3,0,No
276,49,Female,Married,Human Resources,Manager,3,Medical,Travel_Rarely,1,No,16143,0,6,4,8,3,3,2,2,2,3,2,3,3,0,No
278,30,Male,Married,Human Resources,Manager,3,Life Sciences,Travel_Rarely,28,No,16080,1,8,5,12,6,4,2,3,3,3,3,3,4,0,No
279,35,Male,Single,Sales,Sales Executive,2,Medical,Non-Travel,2,No,5302,0,5,3,3,0,3,0,2,1,4,3,3,3,0,No
280,36,Male,Divorced,Research & Development,Manufacturing Director,3,Life Sciences,Travel_Rarely,8,Yes,13975,0,19,4,4,1,4,2,1,4,4,3,3,3,0,No
283,42,Male,Divorced,Research & Development,Research Scientist,3,Life Sciences,Travel_Rarely,9,Yes,4961,2,13,5,11,7,4,3,1,3,1,3,3,4,0,No
286,43,Male,Single,Sales,Sales Executive,2,Medical,Travel_Frequently,19,No,8573,0,15,5,1,0,1,0,3,4,1,3,4,3,1,Yes
288,47,Male,Married,Research & Development,Research Director,3,Medical,Travel_Rarely,15,No,14774,0,9,4,1,1,1,1,2,3,3,3,3,3,1,Yes
290,37,Male,Single,Research & Development,Manufacturing Director,3,Marketing,Travel_Rarely,6,No,11960,1,16,4,7,0,5,2,3,2,3,3,3,3,1,Yes
291,36,Female,Married,Research & Development,Research Director,3,Medical,Travel_Rarely,24,No,16418,2,12,0,7,0,1,3,3,1,4,3,3,3,0,No
292,40,Female,Married,Research & Development,Manufacturing Director,4,Marketing,Travel_Rarely,8,Yes,14199,0,6,0,2,2,2,2,2,4,1,3,3,3,0,No
299,31,Male,Single,Sales,Manager,5,Life Sciences,Travel_Rarely,1,No,17565,0,10,0,9,5,4,1,3,3,1,2,1,3,1,Yes
300,18,Female,Single,Sales,Sales Executive,4,Human Resources,Travel_Rarely,14,No,4327,1,0,3,0,0,0,0,1,4,1,3,2,4,1,Yes
302,25,Male,Married,Sales,Sales Representative,5,Life Sciences,Non-Travel,1,No,4108,1,10,1,7,4,2,0,3,1,3,2,3,4,0,No
303,42,Male,Divorced,Human Resources,Human Resources,3,Life Sciences,Travel_Rarely,2,Yes,3931,1,12,0,15,0,4,1,1,4,2,2,3,3,0,No
304,36,Male,Single,Human Resources,Human Resources,4,Marketing,Travel_Rarely,1,No,5675,0,15,5,18,7,5,2,1,4,2,3,3,3,0,No
305,43,Male,Divorced,Human Resources,Human Resources,2,Other,Non-Travel,5,No,4294,1,15,0,11,0,4,1,4,4,4,3,2,3,1,Yes
308,36,Male,Married,Sales,Sales Representative,3,Medical,Travel_Rarely,7,Yes,1009,1,6,0,0,0,0,0,2,2,3,3,3,4,0,No
309,45,Male,Single,Sales,Sales Representative,3,Life Sciences,Travel_Rarely,3,No,2121,1,0,3,6,6,6,0,2,1,4,3,2,3,1,Yes
312,28,Male,Single,Human Resources,Human Resources,3,Medical,Travel_Rarely,29,Yes,3928,1,27,0,1,1,1,0,1,3,1,3,2,4,0,No
315,36,Female,Married,Human Resources,Manager,4,Life Sciences,Non-Travel,3,No,17312,0,0,0,0,0,0,0,3,3,1,4,2,3,0,No
316,53,Male,Married,Sales,Sales Representative,4,Life Sciences,Non-Travel,2,No,3761,0,12,0,11,4,0,8,2,3,4,3,2,3,0,No
320,29,Male,Married,Research & Development,Laboratory Technician,4,Medical,Non-Travel,18,No,3089,1,6,3,8,6,1,5,3,4,4,3,3,3,0,No
322,48,Male,Married,Sales,Manager,5,Medical,Travel_Rarely,9,No,17296,1,8,2,4,0,1,0,3,2,4,3,3,3,1,Yes
324,38,Male,Married,Research & Development,Research Director,2,Human Resources,Travel_Rarely,3,No,15519,0,13,0,20,6,4,2,2,2,4,4,3,3,0,No
328,52,Female,Divorced,Research & Development,Research Scientist,4,Marketing,Travel_Rarely,29,Yes,6154,0,3,9,1,1,0,0,4,3,3,3,2,3,0,No
329,42,Male,Married,Sales,Sales Representative,3,Technical Degree,Travel_Frequently,11,No,2413,0,0,3,14,2,1,1,3,4,4,2,3,3,1,Yes
331,39,Female,Married,Research & Development,Research Director,4,Human Resources,Travel_Rarely,11,No,17570,1,0,1,4,3,4,0,4,4,3,4,2,3,0,No
333,31,Female,Single,Research & Development,Research Scientist,1,Medical,Travel_Rarely,1,No,7714,0,20,3,9,9,0,0,3,3,2,2,3,3,0,No
336,36,Male,Married,Sales,Sales Representative,3,Medical,Travel_Rarely,18,No,4559,0,0,1,1,1,0,1,2,3,2,3,3,3,1,Yes
337,39,Male,Married,Human Resources,Human Resources,2,Medical,Travel_Rarely,1,No,2057,0,19,9,10,2,1,0,3,3,1,3,3,3,1,Yes
339,37,Male,Single,Research & Development,Healthcare Representative,3,Human Resources,Travel_Rarely,15,Yes,5075,2,15,1,2,2,0,0,1,3,1,3,2,3,0,No
340,24,Male,Single,Sales,Sales Representative,2,Medical,Travel_Rarely,14,No,2317,1,25,2,6,6,0,0,1,2,3,2,3,3,0,No
341,36,Male,Single,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,24,Yes,15944,2,10,0,5,5,1,2,3,2,3,2,3,4,0,No
342,27,Male,Single,Research & Development,Research Scientist,4,Medical,Non-Travel,6,No,6874,0,13,1,4,4,0,0,3,2,4,2,3,4,1,Yes
343,46,Female,Married,Sales,Sales Executive,4,Life Sciences,Travel_Frequently,10,No,4940,0,12,9,1,1,1,0,2,4,1,3,3,3,1,Yes
345,31,Male,Married,Sales,Sales Representative,4,Life Sciences,Travel_Frequently,10,No,4105,1,14,1,13,3,8,2,3,2,1,4,3,3,0,No
347,46,Male,Married,Human Resources,Human Resources,3,Life Sciences,Non-Travel,9,Yes,5780,2,5,1,1,1,1,0,3,3,1,3,3,3,0,No
352,39,Female,Divorced,Research & Development,Healthcare Representative,5,Life Sciences,Travel_Rarely,13,No,6903,1,13,2,14,5,8,1,3,4,2,3,4,3,0,No
354,47,Female,Divorced,Research & Development,Healthcare Representative,3,Marketing,Travel_Frequently,12,Yes,5158,1,20,4,11,0,3,0,3,3,4,2,2,3,0,No
355,34,Female,Married,Research & Development,Research Director,3,Life Sciences,Travel_Rarely,10,No,14355,0,0,1,3,2,1,1,1,3,3,3,3,3,0,No
356,51,Male,Married,Sales,Sales Executive,4,Life Sciences,Travel_Rarely,5,No,8014,2,11,1,6,2,0,1,4,2,2,2,4,3,0,No
358,47,Male,Married,Sales,Sales Executive,4,Marketing,Non-Travel,6,Yes,4415,2,0,2,6,5,6,3,3,4,3,3,3,3,0,No
360,43,Female,Married,Sales,Sales Executive,3,Marketing,Travel_Rarely,23,No,6921,0,9,0,1,0,1,0,3,3,3,1,3,3,0,No
364,41,Female,Married,Research & Development,Research Scientist,4,Medical,Travel_Rarely,6,No,4017,0,3,1,11,3,5,0,2,1,3,2,3,4,0,No
367,28,Male,Married,Sales,Manager,4,Life Sciences,Travel_Rarely,10,No,16663,1,23,0,1,0,1,0,1,3,4,2,3,3,0,No
368,39,Female,Single,Sales,Manager,2,Medical,Travel_Rarely,7,Yes,16970,0,14,0,11,4,11,2,0,1,2,3,4,3,0,No
369,37,Female,Divorced,Sales,Sales Representative,2,Technical Degree,Travel_Rarely,2,No,2860,0,19,2,1,1,1,0,3,1,4,1,3,3,1,Yes
373,34,Female,Single,Research & Development,Healthcare Representative,1,Medical,Travel_Rarely,4,Yes,5922,2,17,2,12,0,3,1,0,3,3,3,3,3,0,No
375,26,Female,Married,Sales,Manager,4,Life Sciences,Non-Travel,17,No,17464,1,19,0,8,3,1,1,3,1,3,3,3,3,0,No
378,51,Female,Divorced,Human Resources,Human Resources,3,Technical Degree,Travel_Rarely,1,No,3867,0,29,3,30,2,2,3,2,4,4,2,3,3,0,No
379,42,Male,Divorced,Human Resources,Human Resources,4,Medical,Travel_Rarely,1,No,6442,3,3,0,2,1,0,2,3,3,3,4,4,3,1,Yes
381,30,Male,Married,Sales,Sales Executive,3,Marketing,Travel_Rarely,9,Yes,6850,1,0,2,12,1,1,3,3,4,4,2,3,3,0,No
382,52,Male,Married,Sales,Manager,3,Life Sciences,Travel_Rarely,1,No,17628,0,4,2,4,3,0,1,2,3,1,2,3,3,0,No
383,42,Female,Divorced,Research & Development,Manufacturing Director,3,Human Resources,Non-Travel,14,Yes,12896,0,19,7,7,1,2,0,1,1,4,4,3,3,0,No
384,47,Female,Single,Sales,Sales Representative,4,Human Resources,Travel_Rarely,8,No,3012,1,7,0,5,5,5,3,4,3,3,3,3,3,0,No
391,40,Male,Married,Sales,Sales Executive,1,Other,Travel_Rarely,24,No,5321,0,1,2,0,0,0,0,2,4,3,3,3,4,0,No
395,40,Male,Single,Human Resources,Manager,3,Marketing,Travel_Rarely,6,Yes,19999,2,8,9,17,10,0,5,3,3,1,3,1,3,0,No
397,41,Male,Married,Research & Development,Manufacturing Director,4,Medical,Travel_Rarely,14,Yes,15378,1,8,4,14,1,0,1,3,1,4,3,4,3,0,No
400,41,Male,Divorced,Research & Development,Research Scientist,1,Technical Degree,Travel_Rarely,29,Yes,4152,0,9,2,2,2,2,2,3,2,4,2,3,3,0,No
401,38,Male,Single,Research & Development,Manufacturing Director,3,Medical,Travel_Rarely,6,Yes,16085,0,14,1,1,0,1,0,2,1,2,1,3,3,1,Yes
404,37,Female,Divorced,Human Resources,Manager,2,Life Sciences,Non-Travel,5,No,17794,1,0,1,19,0,4,0,2,3,1,1,4,3,0,No
405,39,Female,Single,Sales,Manager,4,Medical,Travel_Rarely,1,No,19296,1,19,4,1,1,0,1,1,4,4,3,3,4,0,No
410,38,Female,Married,Sales,Sales Representative,3,Medical,Non-Travel,2,No,2294,0,8,0,20,0,4,0,4,3,4,2,4,3,1,Yes
